"Periodo","GDP.billion.currency.units","Consumo_Privado","exportaciones","importaciones","Total.Government.expenditure","PIB_billones","Consumo_billones","Exportaciones_billones","Importaciones_billones","Gasto_Gobierno_billones","Consumo_vs_PIB","Exportaciones_vs_PIB","GastoGov_vs_PIB","Inversion_Privada_billones","Identidad_Macro","Consumo_Pct","Inversion_Pct","Gasto_Gobierno_Pct","Exportaciones_Netas_Pct"
"2001 Q4",354.13,193654.8,987769.2,927744.2,1.85103e+11,354.13,193.6548,98.77692,92.77442,185103,0.546846638240194,0.278928416118375,522.697879309858,-184948.5273,2.67732502834406e-11,54.6846638240194,-52226.1675938215,52269.7879309858,1.69499901166238
"2002 Q1",316.16,194282.1,932949.7,942136.8,1.45575e+11,316.16,194.2821,93.29497,94.21368,145575,0.614505630060729,0.295087835273279,460.447241902834,-145452.20339,-1.53477230924182e-12,61.4505630060729,-46005.8841694079,46044.7241902834,-0.290583881578953
"2002 Q2",337.57,197428.1,1017966.5,981957.4,1.5245e+11,337.57,197.4281,101.79665,98.19574,152450,0.584850845750511,0.301557158515271,451.610036436887,-152313.45901,3.04112290905323e-11,58.4850845750511,-45120.5554433155,45161.0036436887,1.06671505169298
"2002 Q3",330.72,200751.2,999107.7,909653.1,1.51543e+11,330.72,200.7512,99.91077,90.96531,151543,0.607012578616352,0.30210078011611,458.221456216739,-151421.97666,-1.30739863379858e-11,60.7012578616352,-45785.5517235123,45822.1456216739,2.70484397677794
"2002 Q4",365.81,201595.1,1004744.1,998359.2,1.80658e+11,365.81,201.5951,100.47441,99.83592,180658,0.551092370356196,0.274662830431098,493.857466991061,-180494.42359,-1.46656020660885e-11,55.1092370356196,-49341.0304775703,49385.7466991061,0.174541428610478
"2003 Q1",326.39,201625,937086,988418.6,1.50315e+11,326.39,201.625,93.7086,98.84186,150315,0.617742577897607,0.287106222617114,460.538006679126,-150185.10174,1.27897692436818e-11,61.7742577897607,-46014.002187567,46053.8006679126,-1.57273813535954
"2003 Q2",347.76,205685.9,970830.6,964442.1,1.58569e+11,347.76,205.6859,97.08306,96.44421,158569,0.591459339774557,0.279166839199448,455.972509776858,-158427.56475,8.24229573481716e-12,59.1459339774557,-45556.580615942,45597.2509776858,0.183704278812976
"2003 Q3",342.74,209148.8,992892.8,909725.2,1.56603e+11,342.74,209.1488,99.28928,90.97252,156603,0.610225827157612,0.289692711676489,456.914862578047,-156477.72556,-3.75166564481333e-12,61.0225827157612,-45654.9353912587,45691.4862578047,2.42655073816888
"2003 Q4",377.79,207787.7,999118.6,961100.7,1.91784e+11,377.79,207.7877,99.91186,96.11007,191784,0.550008470314196,0.264464014399534,507.647105534821,-191617.79949,1.87014848052058e-11,55.0008470314196,-50720.7177241325,50764.7105534821,1.00632361894174
"2004 Q1",338.94,207673.4,963614,987035,1.57014e+11,338.94,207.6734,96.3614,98.7035,157014,0.61271434472178,0.284302236384021,463.250132766861,-156880.3913,-1.125499693444e-11,61.271434472178,-46285.5937039004,46325.0132766861,-0.691007257921757
"2004 Q2",365.33,212416.7,1082425.9,1036544.2,1.63866e+11,365.33,212.4167,108.24259,103.65442,163866,0.581437878082829,0.296287165028878,448.542413708154,-163717.67487,1.55182533490006e-11,58.1437878082829,-44813.6410560315,44854.2413708154,1.25589740782306
"2004 Q3",354.61,216732.6,1073698.6,994218.5,1.57494e+11,354.61,216.7326,107.36986,99.42185,157494,0.611185809762838,0.302782944643411,444.132991173402,-157364.07061,6.76436684443615e-12,61.1185809762838,-44376.6590366882,44413.2991173402,2.24133837173232
"2004 Q4",393.44,215887.5,1064652.5,1063884.8,2.01726e+11,393.44,215.8875,106.46525,106.38848,201726,0.548717720618137,0.270600981089874,512.723668157788,-201548.52427,1.18802745419089e-11,54.8717720618137,-51227.2581003457,51272.3668157788,0.0195125050833663
"2005 Q1",349,214176.8,1010062.6,1059163.2,1.63552e+11,349,214.1768,101.00626,105.91632,163552,0.613687106017192,0.289416217765043,468.630372492837,-163412.26674,5.28643795405515e-12,61.3687106017192,-46822.9990659026,46863.0372492837,-1.40689398280802
"2005 Q2",374.09,219215.2,1138143.8,1120134.3,1.67861e+11,374.09,219.2152,113.81438,112.01343,167861,0.58599588334358,0.304243310433318,448.71822288754,-167707.92615,7.84439180279151e-12,58.599588334358,-44830.9032986715,44871.822288754,0.481421583041514
"2005 Q3",364.28,225729.8,1121064.4,1085715.2,1.62075e+11,364.28,225.7298,112.10644,108.57152,162075,0.619660151531789,0.307747996046997,444.918743823433,-161939.98472,6.65068000671454e-12,61.9660151531789,-44454.8107829142,44491.8743823433,0.970385417810475
"2005 Q4",406.26,223423.6,1140136.5,1162109.4,2.11877e+11,406.26,223.4236,114.01365,116.21094,211877,0.549952247329296,0.280642076502732,521.530546940383,-211691.96631,8.81072992342524e-12,54.9952247329296,-52107.5090607,52153.0546940383,-0.540858071185939
"2006 Q1",364.83,223931.3,1133517.6,1243200.2,1.68062e+11,364.83,223.9313,113.35176,124.32002,168062,0.6137962886824,0.310697475536551,460.658388838637,-167910.13304,-1.05160324892495e-11,61.37962886824,-46024.2121097497,46065.8388838637,-3.00640298221089
"2006 Q2",388.84,228565.4,1247101.4,1258516.6,1.74676e+11,388.84,228.5654,124.71014,125.85166,174676,0.587813496553853,0.320723536673182,449.223330933032,-174514.58388,2.79101186606567e-11,58.7813496553852,-44880.8208723382,44922.3330933032,-0.293570620306556
"2006 Q3",379.2,234703.5,1213273.8,1221527.4,1.67714e+11,379.2,234.7035,121.32738,122.15274,167714,0.618943829113924,0.319956170886076,442.283755274262,-167568.67814,3.41060513164848e-13,61.8943829113924,-44190.0522521097,44228.3755274262,-0.217658227848098
"2006 Q4",419.82,231666.2,1282815.4,1306471.8,2.31418e+11,419.82,231.6662,128.28154,130.64718,231418,0.55182268591301,0.305563193749702,551.231480158163,-231227.48056,-1.06297193269711e-11,55.182268591301,-55077.7667952932,55123.1480158163,-0.563489114382357
"2007 Q1",382.04,231378.3,1257446.4,1340156.2,1.72107e+11,382.04,231.3783,125.74464,134.01562,172107,0.605638938331065,0.329139985341849,450.49471259554,-171948.06732,-9.26547727431171e-12,60.5638938331065,-45007.8702020731,45049.471259554,-2.16495131399853
"2007 Q2",403.12,237395.1,1359931.8,1346011.9,1.78887e+11,403.12,237.3951,135.99318,134.60119,178887,0.588894373883707,0.337351607461798,443.756201627307,-178722.66709,8.41282599139959e-12,58.8894373883707,-44334.8549042469,44375.6201627307,0.345304127803134
"2007 Q3",394.74,242889,1331533.2,1306445.2,1.73147e+11,394.74,242.889,133.15332,130.64452,173147,0.61531387748898,0.337319045447636,438.635557582206,-172997.6578,1.9838353182422e-11,61.531387748898,-43825.7227035517,43863.5557582206,0.635557582206011
"2007 Q4",434.94,238852.5,1353131.9,1375195.6,2.31584e+11,434.94,238.8525,135.31319,137.51956,231584,0.549161953372879,0.311107716006806,532.450452936037,-231385.70613,-2.21689333557151e-12,54.9161953372879,-53199.4542074769,53245.0452936037,-0.507281464109997
"2008 Q1",393.85,238955.7,1309641.5,1377727,1.78922e+11,393.85,238.9557,130.96415,137.7727,178922,0.606717532055351,0.332522914815285,454.289704202107,-178760.29715,7.16227077646181e-12,60.6717532055351,-45387.9134568998,45428.9704202107,-1.72871651644027
"2008 Q2",415.96,242964.3,1392610.3,1402996.5,1.90778e+11,415.96,242.9643,139.26103,140.29965,190778,0.584104962015578,0.334794283104145,458.645062025195,-190603.96568,1.53477230924182e-12,58.4104962015578,-45822.6670064429,45864.5062025195,-0.249692278103666
"2008 Q3",401.96,248628.9,1339236.6,1356181.3,1.80952e+11,401.96,248.6289,133.92366,135.61813,180952,0.618541397153946,0.3331765847348,450.174146681262,-180796.97443,-8.58335624798201e-12,61.8541397153946,-44978.8472559459,45017.4146681262,-0.421551895711015
"2008 Q4",425.92,239539.7,1233419.9,1281745.4,2.34237e+11,425.92,239.5397,123.34199,128.17454,234237,0.562405381292261,0.28958957081142,549.955390683696,-234045.78715,-4.71800376544707e-12,56.2405381292261,-54950.6449920173,54995.5390683696,-1.13461448159278
"2009 Q1",374.44,233610.8,994670.5,1089709.4,1.85968e+11,374.44,233.6108,99.46705,108.97094,185968,0.62389381476338,0.265642158957376,496.656340134601,-185817.66691,4.9453774408903e-12,62.389381476338,-49625.4852339494,49665.6340134601,-2.53816098707403
"2009 Q2",392.68,236703.1,1052969.3,1052885.4,1.9359e+11,392.68,236.7031,105.29693,105.28854,193590,0.602788784761129,0.2681494601202,492.996842212489,-193434.03149,-1.94404492503963e-11,60.2788784761129,-49259.9652363247,49299.6842212489,0.00213659977590039
"2009 Q3",388.72,243085.5,1091386.3,1074718.5,1.87039e+11,388.72,243.0855,109.13863,107.47185,187039,0.625348579954723,0.280764123276394,481.166392261782,-186895.03228,2.75122147286311e-11,62.5348579954723,-48079.6028709611,48116.6392261782,0.428786787404817
