FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2001-Q2,72244.8,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2001-Q3,63507.7,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2001-Q4,73864.6,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2002-Q1,70832.7,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2002-Q2,73838.1,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2002-Q3,68866.9,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2002-Q4,82130,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2003-Q1,72347.2,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2003-Q2,76605,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2003-Q3,69729.9,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
