FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Observation,OBS_STATUS,Observation status
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-05,103,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-06,103.1,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-07,103.1,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-08,103.5,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-09,102.9,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-10,102.8,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-11,102.6,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-12,102.8,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-01,102.9,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-02,102.8,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-03,102.9,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-04,103,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-05,102.8,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-06,102.9,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-07,102.7,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-08,103,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-09,102.3,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-10,102.5,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-11,102.4,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2020-12,102.6,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-01,103.3,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-02,103.4,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-03,103.7,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-04,104.1,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-05,104.1,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-06,104.2,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-07,104.7,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-08,105.1,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-09,104.9,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-10,105.6,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-11,106.2,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2021-12,106.6,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-01,108.3,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-02,109.3,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-03,110.4,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-04,110.3,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-05,111.2,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-06,112.5,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-07,113,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-08,113.9,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-09,114.2,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-10,118.1,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-11,118.7,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2022-12,119,,
